date,grid_0,grid_1,grid_2,grid_3,grid_4,grid_5,grid_6,grid_7,grid_8
08 Jul 17:00,0.441675023039,0.453841095245,0.461753750903,0.456810765413,0.485663636834,0.509507174626,0.478011187038,0.7050814359,1.20418380951
08 Jul 18:00,0.356691127975,0.364529144179,0.37652248712,0.364699314586,0.379257276293,0.398431392508,0.379508892895,0.447491178876,0.842396296813
08 Jul 19:00,0.268433913958,0.271939985646,0.280851481252,0.270114665341,0.275473011387,0.286595995109,0.276187368285,0.294582636258,0.304013342785
08 Jul 20:00,0.243554302919,0.24496681463,0.251948700832,0.242852986788,0.244217753056,0.252257397376,0.244383200712,0.242959764603,0.253007575094
08 Jul 21:00,0.24642023729,0.246835233857,0.253101191271,0.245446071411,0.245354466272,0.252887071762,0.245834857529,0.239125865201,0.252647442277
08 Jul 22:00,0.232013186043,0.231637959208,0.237241827606,0.231359919707,0.230385016087,0.237188980744,0.231721133797,0.223577048692,0.23707018354
08 Jul 23:00,0.216298323577,0.215183612001,0.220284010539,0.215777183986,0.213929572248,0.220221430443,0.215817883479,0.206004503083,0.219924566497
09 Jul 00:00,0.214546294463,0.212546315528,0.217572517802,0.213559453454,0.210487667275,0.216907096334,0.212909155291,0.199979145233,0.21606138633
09 Jul 01:00,0.183927034846,0.181293043394,0.18629256262,0.182572068381,0.178677398533,0.185172107381,0.181766242027,0.167315178277,0.184262076921
09 Jul 02:00,0.162093133354,0.159460460346,0.164047230955,0.160942305341,0.157119554882,0.163090728998,0.160208331708,0.146416050202,0.162285949766
09 Jul 03:00,0.129393720541,0.126781065105,0.131060608677,0.128241050617,0.124402680132,0.130058129614,0.12714830183,0.113074494233,0.128930928232
09 Jul 04:00,0.0616145686019,0.059110209029,0.0630804302864,0.0604459054085,0.0566833915043,0.0620245156604,0.0590017680108,0.044765636364,0.0605716302035
09 Jul 05:00,0.0854398501378,0.0840699226118,0.086866076228,0.0857323902968,0.0837804004003,0.0873313136967,0.0851981554374,0.0767984208748,0.0867133281804
09 Jul 06:00,0.222242623127,0.222251574358,0.223565271844,0.228506392516,0.230205750694,0.229998524917,0.23956030259,0.259213858667,0.239783557823
09 Jul 07:00,0.297799129443,0.298421719079,0.299173734424,0.3071677992,0.310777337119,0.30870019527,0.327883087931,0.364586699835,0.325520355333
